classAccount,timestamp,UTC,total,public_public1,public_public2,public_public3,public_public4,secret_secret01,secret_secret02,secret_secret03,secret_secret04,secret_secret05,secret_secret06,secret_secret07,secret_secret08,secret_secret09,secret_secret10,secret_secret11,secret_secret12,secret_secret13
larry-student,2012-10-07 22:38:39.0,1349663919000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
sberger,2012-10-12 16:21:58.0,1350073318000,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sberger,2012-10-13 16:30:20.0,1350160220000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
sgilles,2012-10-13 16:48:49.0,1350161329000,82,5,5,5,5,7,7,6,0,0,0,6,6,6,6,6,6,6
aac312,2012-10-14 13:42:45.0,1350236565000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
izhou,2012-10-14 15:10:52.0,1350241852000,69,5,5,5,5,7,0,0,6,6,6,6,6,6,0,0,0,6
sberger,2012-10-14 16:48:43.0,1350247723000,22,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
jafranck,2012-10-14 19:53:08.0,1350258788000,88,5,5,5,5,7,7,0,6,6,6,6,6,6,0,6,6,6
ottos,2012-10-14 21:17:24.0,1350263844000,88,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,0,0
agoley,2012-10-15 18:44:39.0,1350341079000,76,5,5,5,5,7,7,6,6,6,6,6,0,0,6,6,0,0
aac312,2012-10-16 09:31:28.0,1350394288000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aac312,2012-10-16 09:53:44.0,1350395624000,17,5,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
aac312,2012-10-16 11:43:49.0,1350402229000,29,5,5,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0
pbloch,2012-10-16 17:02:13.0,1350421333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sberger,2012-10-16 17:21:32.0,1350422492000,40,5,5,5,5,7,7,6,0,0,0,0,0,0,0,0,0,0
amascone,2012-10-16 17:24:13.0,1350422653000,0,0,0,0
amascone,2012-10-16 17:26:15.0,1350422775000,0,0,0,0
pbloch,2012-10-17 03:26:43.0,1350458803000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfarias,2012-10-17 08:56:19.0,1350478579000,82,5,5,5,5,7,7,0,6,6,6,6,6,6,0,6,0,6
pbloch,2012-10-17 14:10:44.0,1350497444000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbloch,2012-10-17 14:11:55.0,1350497515000,12,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
izhou,2012-10-17 18:04:23.0,1350511463000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfarias,2012-10-17 18:49:14.0,1350514154000,88,5,5,5,5,7,7,0,6,6,6,6,6,6,0,6,6,6
bneumaie,2012-10-17 19:32:16.0,1350516736000,64,5,5,5,5,7,7,6,0,6,0,6,6,6,0,0,0,0
tlundfel,2012-10-17 22:00:59.0,1350525659000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mikasent,2012-10-17 22:27:03.0,1350527223000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mikasent,2012-10-17 22:29:44.0,1350527384000,82,5,5,5,5,7,7,6,0,6,0,6,6,6,6,6,6,0
