classAccount,timestamp,UTC,total,public_public1,public_public2,public_public3,public_public4,secret_secret01,secret_secret02,secret_secret03,secret_secret04,secret_secret05,secret_secret06,secret_secret07,secret_secret08,secret_secret09,secret_secret10,secret_secret11,secret_secret12,secret_secret13,secret_secret14,secret_secret15,secret_secret16,secret_secret17,secret_secret18,secret_secret19,secret_secret20,secret_secret21,secret_secret22,secret_secret23,secret_secret24,secret_secret25,secret_secret26,secret_secret27,secret_secret28,secret_secret29,secret_secret30,secret_secret31
sgilles,2012-10-27 14:04:26.0,1351361066000,60,0,5,5,5,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sgilles,2012-10-27 14:11:36.0,1351361496000,65,5,5,5,5,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sberger,2012-10-29 11:56:32.0,1351526192000,34,5,5,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgilles,2012-10-29 15:16:38.0,1351538198000,91,5,5,5,5,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
sberger,2012-10-29 17:48:53.0,1351547333000,34,5,5,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sberger,2012-10-29 17:52:05.0,1351547525000,60,5,5,5,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
takako,2012-10-29 19:26:33.0,1351553193000,63,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfarias,2012-10-30 13:29:54.0,1351618194000,79,5,5,5,5,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2
oahsan,2012-10-30 16:05:33.0,1351627533000,69,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
oahsan,2012-10-30 16:42:23.0,1351629743000,74,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
takako,2012-10-30 18:30:29.0,1351636229000,63,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ottos,2012-10-30 23:04:51.0,1351652691000,54,5,5,5,5,0,0,3,3,3,0,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
ahafez,2012-10-30 23:13:43.0,1351653223000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
ahafez,2012-10-31 00:21:11.0,1351657271000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
takako,2012-10-31 02:05:30.0,1351663530000,63,5,5,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sberger,2012-10-31 15:56:32.0,1351713392000,74,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ballard3,2012-10-31 17:54:23.0,1351720463000,88,5,5,5,5,3,3,3,3,3,0,3,3,3,3,0,0,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
oahsan,2012-10-31 19:33:03.0,1351726383000,74,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
oahsan,2012-10-31 19:41:35.0,1351726895000,100,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
kmm17,2012-10-31 20:40:10.0,1351730410000,32,5,0,0,0,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
