classAccount,timestamp,UTC,total,public_public01,public_public02,public_public03,public_public04,public_public05,public_public06,public_public07,public_public08,public_public09,public_public10,public_public11,public_public12,public_public13,public_public14,public_public15,public_public16,public_public17,public_public18,public_public19,public_public20,public_public21,public_public22,public_public23,public_public24
larry-student,2012-12-01 21:46:33.0,1354416393000,34,3,3,2,2,0,0,2,0,0,2,0,0,2,2,2,2,2,2,2,2,2,0,0,2
izhou,2012-12-02 22:18:53.0,1354504733000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ahafez,2012-12-03 20:13:54.0,1354583634000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
robertzi,2012-12-04 14:58:25.0,1354651105000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
dshaw,2012-12-05 01:31:57.0,1354689117000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
bshumate,2012-12-05 01:47:17.0,1354690037000,8,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bshumate,2012-12-05 02:22:41.0,1354692161000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
pbloch,2012-12-05 03:31:51.0,1354696311000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbloch,2012-12-05 04:33:15.0,1354699995000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbloch,2012-12-05 04:40:48.0,1354700448000,16,3,3,2,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbloch,2012-12-05 05:35:44.0,1354703744000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Ooludemi,2012-12-05 05:36:43.0,1354703803000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
mlui12,2012-12-05 16:27:32.0,1354742852000,12,3,3,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ychen123,2012-12-05 16:36:23.0,1354743383000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
mlui12,2012-12-05 16:53:37.0,1354744417000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
dquispe,2012-12-05 17:43:42.0,1354747422000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
pnels,2012-12-05 18:31:20.0,1354750280000,30,3,3,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0
agoley,2012-12-05 19:42:25.0,1354754545000,32,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0
agoley,2012-12-05 20:17:17.0,1354756637000,38,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0
arjun1,2012-12-05 20:57:14.0,1354759034000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arjun1,2012-12-05 21:02:03.0,1354759323000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arjun1,2012-12-05 21:04:13.0,1354759453000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arjun1,2012-12-05 21:06:11.0,1354759571000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arjun1,2012-12-05 21:27:58.0,1354760878000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arjun1,2012-12-05 21:32:34.0,1354761154000,14,3,3,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arjun1,2012-12-05 22:22:40.0,1354764160000,14,3,3,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andyb,2012-12-05 22:33:45.0,1354764825000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
rjames13,2012-12-05 23:17:57.0,1354767477000,32,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0
rjames13,2012-12-05 23:20:32.0,1354767632000,50,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
robertzi,2012-12-06 00:18:14.0,1354771094000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
pnels,2012-12-06 00:26:48.0,1354771608000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
robertzi,2012-12-06 00:34:01.0,1354772041000,30,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
arjun1,2012-12-06 00:34:03.0,1354772043000,8,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arjun1,2012-12-06 00:37:41.0,1354772261000,8,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robertzi,2012-12-06 00:39:50.0,1354772390000,30,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
arjun1,2012-12-06 00:43:29.0,1354772609000,8,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pnels,2012-12-06 00:47:02.0,1354772822000,30,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
robertzi,2012-12-06 00:47:56.0,1354772876000,30,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
arjun1,2012-12-06 00:51:05.0,1354773065000,16,3,3,2,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robertzi,2012-12-06 01:03:38.0,1354773818000,30,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
izhou,2012-12-06 01:05:26.0,1354773926000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
crobins,2012-12-06 01:09:04.0,1354774144000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
crobins,2012-12-06 01:13:45.0,1354774425000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
izhou,2012-12-06 01:27:57.0,1354775277000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
pnels,2012-12-06 01:34:20.0,1354775660000,32,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0
pnels,2012-12-06 01:42:29.0,1354776149000,32,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0
robertzi,2012-12-06 01:58:49.0,1354777129000,32,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0
pnels,2012-12-06 02:07:41.0,1354777661000,48,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
robertzi,2012-12-06 02:11:49.0,1354777909000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
robertzi,2012-12-06 02:14:49.0,1354778089000,32,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0
robertzi,2012-12-06 02:31:06.0,1354779066000,30,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
bneumaie,2012-12-06 02:38:24.0,1354779504000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
robertzi,2012-12-06 02:43:56.0,1354779836000,30,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
izhou,2012-12-06 03:43:37.0,1354783417000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
izhou,2012-12-06 03:46:45.0,1354783605000,32,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0
izhou,2012-12-06 03:51:39.0,1354783899000,46,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2
tlundfel,2012-12-06 04:34:44.0,1354786484000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0
tlundfel,2012-12-06 04:41:43.0,1354786903000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0
tlundfel,2012-12-06 04:58:38.0,1354787918000,24,3,3,2,2,0,0,2,2,0,2,0,0,0,0,2,2,0,0,0,2,0,2,0,0
tlundfel,2012-12-06 05:14:54.0,1354788894000,34,3,3,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,2,0,2,0,0
tlundfel,2012-12-06 05:22:58.0,1354789378000,26,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
tlundfel,2012-12-06 05:26:22.0,1354789582000,34,3,3,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,2,0,2,0,0
